unit,sizen_r2,indic_is,geo\time	2017 	2014 	2011 	2009 
PC_ENT,10_C10_18,E_RFPSDP1,HU	2 	3 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,IE	6 	8 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,IS	: u	6 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,IT	5 	6 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,LT	7 	4 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,LU	13 	10 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,LV	3 	2 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,MK	: 	6 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,MT	4 	1 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,NL	6 	3 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,NO	2 	5 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,PL	3 	3 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,PT	3 	7 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,RO	2 	4 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,RS	: 	5 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,SE	4 	2 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,SI	8 	7 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,SK	1 	3 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,UK	2 	2 	: 	: 
PC_ENT,10_C10_18,E_RFSC,AT	: 	: 	: 	: u
PC_ENT,10_C10_18,E_RFSC,BE	: 	: 	: 	: u
PC_ENT,10_C10_18,E_RFSC,BG	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFSC,CY	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFSC,CZ	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFSC,DE	: 	: 	: 	2 
PC_ENT,10_C10_18,E_RFSC,DK	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFSC,EA	: 	: 	: 	2 
PC_ENT,10_C10_18,E_RFSC,EE	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFSC,EL	: 	: 	: 	: u
PC_ENT,10_C10_18,E_RFSC,ES	: 	: 	: 	3 
PC_ENT,10_C10_18,E_RFSC,EU15	: 	: 	: 	2 
PC_ENT,10_C10_18,E_RFSC,EU25	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFSC,EU27	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFSC,EU28	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFSC,FI	: 	: 	: 	2 
